x,y,value
IDH2_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.427444858
NAGK_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.544629111
PYGB_STARCH_AND_SUCROSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.186148811
ACO2_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.269309004
TSTA3_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.929140032
HAGH_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.095552778
ACLY_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.2994758
PIK3CD_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.922310489
ALDH9A1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.962767992
GNPDA2_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.136127916
LDHA_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.957489202
SUCLA2_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,0.765895758
NANS_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.193576277
ACACA_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.116214736
GLO1_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.349405485
RBKS_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,0.97351243
IDH3A_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.374068777
ACSS2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.275169007
MTMR2_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.227085999
PGM2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.202534974
GLO1_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.18123739
DLST_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.597382603
PGD_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,1.045967655
SDHC_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.018872914
DERA_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,1.471164199
PFKFB4_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,2.55364908
FPGT_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.317944311
IMPA1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.320964579
PMM2_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.282714107
INPP5B_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.69809067
DLD_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.833420661
IDH3B_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,1.10925488
CDIPT_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.25592731
MDH1_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,0.815646838
